track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
Talk,Talk,"Khalid, Disclosure",197487,False,False,https://api.spotify.com/v1/tracks/0rTV5WefWd1J3OwIheTzxM,0rTV5WefWd1J3OwIheTzxM,False,Talk,0,https://p.scdn.co/mp3-preview/377020170b3fc0569afa2ab8935b9982323bddd2?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:0rTV5WefWd1J3OwIheTzxM,0.0501,https://api.spotify.com/v1/audio-analysis/0rTV5WefWd1J3OwIheTzxM,0.9,0.4,0.0,0,0.0876,-8.443,1,0.124,136.001,4,https://api.spotify.com/v1/tracks/0rTV5WefWd1J3OwIheTzxM,0.338
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,190440,False,True,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,4kV4N9D1iKVxx1KLvtTpjS,False,"break up with your girlfriend, i'm bored",0,,True,12,track,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,0.0378,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,0.726,0.545,0.0,5,0.108,-5.489,0,0.102,169.991,4,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,0.348
bad idea,"thank u, next",Ariana Grande,267106,False,False,https://api.spotify.com/v1/tracks/5Il6Oe7lr5XM7A0cWbVQtr,5Il6Oe7lr5XM7A0cWbVQtr,False,bad idea,0,,True,6,track,spotify:track:5Il6Oe7lr5XM7A0cWbVQtr,0.0247,https://api.spotify.com/v1/audio-analysis/5Il6Oe7lr5XM7A0cWbVQtr,0.852,0.588,0.0477,1,0.116,-5.35,1,0.0651,138.024,4,https://api.spotify.com/v1/tracks/5Il6Oe7lr5XM7A0cWbVQtr,0.568
Who Do You Love (with 5 Seconds of Summer),Who Do You Love (with 5 Seconds of Summer),"The Chainsmokers, 5 Seconds of Summer",226746,False,True,https://api.spotify.com/v1/tracks/11cDEev79fPKi6uJCjUhu8,11cDEev79fPKi6uJCjUhu8,False,Who Do You Love (with 5 Seconds of Summer),0,https://p.scdn.co/mp3-preview/e3ef260cdfe18ac3e66226ce235843469ea69b87?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:11cDEev79fPKi6uJCjUhu8,0.00791,https://api.spotify.com/v1/audio-analysis/11cDEev79fPKi6uJCjUhu8,0.51,0.835,0.0,3,0.219,-4.673,1,0.0447,140.024,4,https://api.spotify.com/v1/tracks/11cDEev79fPKi6uJCjUhu8,0.435
BLACKJACK (feat. YBN Cordae) - Remix,BLACKJACK (Remix),"Aminé, YBN Cordae",163120,False,True,https://api.spotify.com/v1/tracks/59VNspSnCfoeGyNTGcSgsh,59VNspSnCfoeGyNTGcSgsh,False,BLACKJACK (feat. YBN Cordae) - Remix,0,,True,1,track,spotify:track:59VNspSnCfoeGyNTGcSgsh,0.147,https://api.spotify.com/v1/audio-analysis/59VNspSnCfoeGyNTGcSgsh,0.957,0.574,0.0,2,0.0581,-6.284,1,0.278,130.977,4,https://api.spotify.com/v1/tracks/59VNspSnCfoeGyNTGcSgsh,0.891
Common (feat. Brandi Carlile),Common (feat. Brandi Carlile),"Maren Morris, Brandi Carlile",245186,False,False,https://api.spotify.com/v1/tracks/5MhVzofPgq6B3Js8JFRa3H,5MhVzofPgq6B3Js8JFRa3H,False,Common (feat. Brandi Carlile),0,https://p.scdn.co/mp3-preview/081fc7577141e220526552e45f72b79a99d74d96?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:5MhVzofPgq6B3Js8JFRa3H,0.591,https://api.spotify.com/v1/audio-analysis/5MhVzofPgq6B3Js8JFRa3H,0.46,0.737,0.0,11,0.0811,-5.332,0,0.0775,104.715,4,https://api.spotify.com/v1/tracks/5MhVzofPgq6B3Js8JFRa3H,0.382
Lost,Lost,Blake Rose,234623,False,False,https://api.spotify.com/v1/tracks/2Pph0CUJ8uksCBzV6iyuQF,2Pph0CUJ8uksCBzV6iyuQF,False,Lost,0,https://p.scdn.co/mp3-preview/14609de0076e9d4dd53c95273bde93d52f2d383f?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:2Pph0CUJ8uksCBzV6iyuQF,0.216,https://api.spotify.com/v1/audio-analysis/2Pph0CUJ8uksCBzV6iyuQF,0.595,0.687,0.0,4,0.107,-6.536,1,0.0486,94.73,4,https://api.spotify.com/v1/tracks/2Pph0CUJ8uksCBzV6iyuQF,0.508
Leaning On Myself,Leaning On Myself,Anna Of The North,196273,False,False,https://api.spotify.com/v1/tracks/11p45DXn2eSqcBtcAsWT0k,11p45DXn2eSqcBtcAsWT0k,False,Leaning On Myself,25,https://p.scdn.co/mp3-preview/3e45ba64c62486d4e55039b970b93ff4b8a30ec6?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:11p45DXn2eSqcBtcAsWT0k,0.461,https://api.spotify.com/v1/audio-analysis/11p45DXn2eSqcBtcAsWT0k,0.699,0.55,1.4e-05,0,0.128,-7.397,1,0.135,130.027,4,https://api.spotify.com/v1/tracks/11p45DXn2eSqcBtcAsWT0k,0.707
Holding Hands (feat. Elohim),Road to Michigan (1-5),"Quinn XCII, Elohim",224666,False,False,https://api.spotify.com/v1/tracks/4eVvic8ybfVOUmojE6H5BL,4eVvic8ybfVOUmojE6H5BL,False,Holding Hands (feat. Elohim),0,https://p.scdn.co/mp3-preview/de4b79f250225b645fa7a1dc0d966abbc8b62900?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:4eVvic8ybfVOUmojE6H5BL,0.424,https://api.spotify.com/v1/audio-analysis/4eVvic8ybfVOUmojE6H5BL,0.663,0.471,0.000106,3,0.119,-9.657,1,0.102,155.989,4,https://api.spotify.com/v1/tracks/4eVvic8ybfVOUmojE6H5BL,0.351
NASA,"thank u, next",Ariana Grande,182000,False,False,https://api.spotify.com/v1/tracks/4uTvPEr01pjTbZgl7jcKBD,4uTvPEr01pjTbZgl7jcKBD,False,NASA,0,,True,3,track,spotify:track:4uTvPEr01pjTbZgl7jcKBD,0.401,https://api.spotify.com/v1/audio-analysis/4uTvPEr01pjTbZgl7jcKBD,0.741,0.46,0.0,6,0.248,-6.933,1,0.284,75.005,4,https://api.spotify.com/v1/tracks/4uTvPEr01pjTbZgl7jcKBD,0.56
