track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
MIDDLE CHILD,MIDDLE CHILD,J. Cole,213593,False,True,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,2JvzF1RMd7lE3KmFlsyZD8,False,MIDDLE CHILD,92,,True,1,track,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,0.149,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,0.463
Going Bad (feat. Drake),Championships,"Meek Mill, Drake",180522,False,True,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,False,Going Bad (feat. Drake),94,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=ccc3919df33944f38d2102cf87c47c53,True,9,track,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,0.259,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,0.544
Wow.,Wow.,Post Malone,149520,False,True,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,6MWtB6iiXyIwun0YzU6DFP,False,Wow.,97,,True,1,track,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.163,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,0.539,2.1e-06,11,0.101,-7.399,0,0.178,99.947,4,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,0.385
Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES,"Metro Boomin, Gunna",203266,False,True,https://api.spotify.com/v1/tracks/5gub2bpJRgJP4m4MliqtdV,5gub2bpJRgJP4m4MliqtdV,False,Space Cadet (feat. Gunna),57,,True,5,track,spotify:track:5gub2bpJRgJP4m4MliqtdV,0.368,https://api.spotify.com/v1/audio-analysis/5gub2bpJRgJP4m4MliqtdV,0.901,0.464,1.71e-05,5,0.238,-9.789,0,0.0645,109.004,4,https://api.spotify.com/v1/tracks/5gub2bpJRgJP4m4MliqtdV,0.638
Keanu Reeves,Keanu Reeves,Logic,225986,False,True,https://api.spotify.com/v1/tracks/25F6MWrnFBCXVnpN4n76EK,25F6MWrnFBCXVnpN4n76EK,False,Keanu Reeves,85,,True,1,track,spotify:track:25F6MWrnFBCXVnpN4n76EK,0.0591,https://api.spotify.com/v1/audio-analysis/25F6MWrnFBCXVnpN4n76EK,0.71,0.888,0.0,2,0.134,-6.457,1,0.235,170.193,4,https://api.spotify.com/v1/tracks/25F6MWrnFBCXVnpN4n76EK,0.816
a lot,i am > i was,21 Savage,288624,False,True,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,2t8yVaLvJ0RenpXUIAC52d,False,a lot,89,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:2t8yVaLvJ0RenpXUIAC52d,0.0395,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,0.274
Splashin,Splashin,Rich The Kid,177806,False,True,https://api.spotify.com/v1/tracks/79OEIr4J4FHV0O3KrhaXRb,79OEIr4J4FHV0O3KrhaXRb,False,Splashin,86,,True,1,track,spotify:track:79OEIr4J4FHV0O3KrhaXRb,0.00195,https://api.spotify.com/v1/audio-analysis/79OEIr4J4FHV0O3KrhaXRb,0.942,0.383,0.0,10,0.0922,-8.099,1,0.565,100.021,4,https://api.spotify.com/v1/tracks/79OEIr4J4FHV0O3KrhaXRb,0.38
First Off (feat. Travis Scott),Future Hndrxx Presents: The WIZRD,"Future, Travis Scott",228366,False,True,https://api.spotify.com/v1/tracks/3WRIaWsws011vHMd9uzPjG,3WRIaWsws011vHMd9uzPjG,False,First Off (feat. Travis Scott),85,https://p.scdn.co/mp3-preview/6efd5258507b6c144f649262903251679d1ecf0c?cid=ccc3919df33944f38d2102cf87c47c53,True,17,track,spotify:track:3WRIaWsws011vHMd9uzPjG,0.013,https://api.spotify.com/v1/audio-analysis/3WRIaWsws011vHMd9uzPjG,0.734,0.683,0.0,1,0.28,-6.105,1,0.0776,162.038,4,https://api.spotify.com/v1/tracks/3WRIaWsws011vHMd9uzPjG,0.445
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,179449,False,True,https://api.spotify.com/v1/tracks/3J5YrOvX2A0EA0j4BARQ9o,3J5YrOvX2A0EA0j4BARQ9o,False,Look Back At It,83,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:3J5YrOvX2A0EA0j4BARQ9o,0.407,https://api.spotify.com/v1/audio-analysis/3J5YrOvX2A0EA0j4BARQ9o,0.791,0.587,0.0,3,0.148,-5.075,0,0.0413,96.057,4,https://api.spotify.com/v1/tracks/3J5YrOvX2A0EA0j4BARQ9o,0.536
One Call,One Call,Gunna,195736,False,True,https://api.spotify.com/v1/tracks/2IoZOYOZDrWCOLoZoYedxQ,2IoZOYOZDrWCOLoZoYedxQ,False,One Call,75,https://p.scdn.co/mp3-preview/66a225a9f1c56540e92f4b19f093ace03e92d84d?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:2IoZOYOZDrWCOLoZoYedxQ,0.125,https://api.spotify.com/v1/audio-analysis/2IoZOYOZDrWCOLoZoYedxQ,0.861,0.481,1.38e-05,2,0.0903,-7.309,1,0.343,146.992,4,https://api.spotify.com/v1/tracks/2IoZOYOZDrWCOLoZoYedxQ,0.188
