track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
7 rings,7 rings,Ariana Grande,178640,False,True,https://api.spotify.com/v1/tracks/14msK75pk3pA33pzPVNtBF,14msK75pk3pA33pzPVNtBF,False,7 rings,100,,True,1,track,spotify:track:14msK75pk3pA33pzPVNtBF,0.578,https://api.spotify.com/v1/audio-analysis/14msK75pk3pA33pzPVNtBF,0.725,0.321,0.0,1,0.0884,-10.744,0,0.323,70.142,4,https://api.spotify.com/v1/tracks/14msK75pk3pA33pzPVNtBF,0.319
MIDDLE CHILD,MIDDLE CHILD,J. Cole,213593,False,True,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,2JvzF1RMd7lE3KmFlsyZD8,False,MIDDLE CHILD,91,,True,1,track,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,0.149,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,0.463
Wow.,Wow.,Post Malone,149520,False,True,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,6MWtB6iiXyIwun0YzU6DFP,False,Wow.,98,,True,1,track,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.163,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,0.539,2.1e-06,11,0.101,-7.399,0,0.178,99.947,4,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,0.385
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),"Post Malone, Swae Lee",158040,False,False,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,False,Sunflower - Spider-Man: Into the Spider-Verse,99,,True,2,track,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,0.913
bury a friend,bury a friend,Billie Eilish,193143,False,False,https://api.spotify.com/v1/tracks/4NzMOnvSJVNKF7nw5NkXIP,4NzMOnvSJVNKF7nw5NkXIP,False,bury a friend,71,,True,1,track,spotify:track:4NzMOnvSJVNKF7nw5NkXIP,0.768,https://api.spotify.com/v1/audio-analysis/4NzMOnvSJVNKF7nw5NkXIP,0.58,0.39,0.182,8,0.105,-14.695,1,0.512,174.118,3,https://api.spotify.com/v1/tracks/4NzMOnvSJVNKF7nw5NkXIP,0.164
Going Bad (feat. Drake),Championships,"Meek Mill, Drake",180522,False,True,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,False,Going Bad (feat. Drake),95,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=2d7e45f1d409409e91fbbe0444ec166d,True,9,track,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,0.259,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,0.544
Drip Too Hard (Lil Baby & Gunna),Drip Harder,"Lil Baby, Gunna",145542,False,True,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,78QR3Wp35dqAhFEc2qAGjE,False,Drip Too Hard (Lil Baby & Gunna),88,,True,12,track,spotify:track:78QR3Wp35dqAhFEc2qAGjE,0.103,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,0.896,0.671,0.0,1,0.552,-6.977,0,0.289,112.502,4,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,0.358
Without Me,Without Me,Halsey,201660,False,True,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,False,Without Me,98,,True,1,track,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,0.533
Look Back At It,Hoodie SZN,A Boogie Wit da Hoodie,179449,False,True,https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8,3Ol2xnObFdKV9pmRD2t9x8,False,Look Back At It,89,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=2d7e45f1d409409e91fbbe0444ec166d,True,11,track,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,0.407,https://api.spotify.com/v1/audio-analysis/3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,0.0,3,0.148,-5.075,0,0.0413,96.057,4,https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8,0.536
SICKO MODE,ASTROWORLD,Travis Scott,312820,False,True,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,False,SICKO MODE,95,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=2d7e45f1d409409e91fbbe0444ec166d,True,3,track,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,0.446
