,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",8117751,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
2,Wow.,"Post Malone",4602355,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
3,"MIDDLE CHILD","J. Cole",4462056,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
4,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4400459,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
5,"Without Me",Halsey,3734771,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"thank u, next","Ariana Grande",3384156,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
7,"Dancing With A Stranger (with Normani)","Sam Smith",3295666,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
8,"Calma - Remix","Pedro Capó",3187000,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
9,"Sweet but Psycho","Ava Max",2977740,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
10,Shallow,"Lady Gaga",2776079,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",2742672,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
12,"MIA (feat. Drake)","Bad Bunny",2639489,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
13,"High Hopes","Panic! At The Disco",2507092,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
14,"Going Bad (feat. Drake)","Meek Mill",2471979,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
15,Happier,Marshmello,2404661,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,Secreto,"Anuel Aa",2401992,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
17,"Adan y Eva","Paulo Londra",2390722,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
18,"SICKO MODE","Travis Scott",2366920,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
19,"Giant (with Rag'n'Bone Man)","Calvin Harris",2085283,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
20,"Saturday Nights",Khalid,2029493,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
21,"Look Back At It","A Boogie Wit da Hoodie",2002884,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
22,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1987775,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
23,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1969303,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
24,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1888139,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
25,"Eastside (with Halsey & Khalid)","benny blanco",1874977,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
26,"Baila Baila Baila",Ozuna,1802583,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
27,"when the party's over","Billie Eilish",1789827,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
28,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1779529,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
29,Hope,"The Chainsmokers",1740777,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
30,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,1738993,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
31,"Mo Bamba","Sheck Wes",1737148,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
32,"Better Now","Post Malone",1706740,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
33,"Be Alright","Dean Lewis",1673417,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
34,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")","Dua Lipa",1669933,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
35,SAD!,XXXTENTACION,1634029,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
36,Desconocidos,"Mau y Ricky",1614986,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
37,"i'm so tired...",Lauv,1603263,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
